Transaction ID,Date,Type,Amount,Account,Description,Vendor
a15401db-9bde-4d86-92bf-f39be7fac7b3,2023-01-01,Payment,2030.85,ACCT-1535,Office Rent,Prime Office Rentals
b54cc0c3-d41e-42cf-ad1a-fcd45ca5a9e2,2023-01-01,Withdrawal,1072.39,ACCT-8786,Withdrawal - Services,XYZ Tech Solutions
,2023-01-01,Withdrawal,4217.75,ACCT-2178,Withdrawal - Office Supplies,XYZ Tech Solutions
dd5f76e0-34f4-4bc9-96a6-65277e269c2c,2023-01-02,Payment,4002.55,ACCT-2562,Payment - Office Supplies,XYZ Tech Solutions
3cd2dade-7107-48a9-86cc-74ac2e32b8b2,2023-01-02,Withdrawal,4146.17,ACCT-1005,Withdrawal - Equipment,123 Cleaning Services
92595524-47f9-44bf-a590-ac9331a7062a,2023-01-03,Payment,56802.5271,ACCT-6347,Payment - Equipment,123 Cleaning Services
9a6fc60f-9ea2-4e81-a6d4-a107cb6d9e74,2023-01-03,Deposit,2121.37,ACCT-3338,Deposit - Miscellaneous,123 Cleaning Services
a8c04830-6592-4f73-ac06-7265405cbff6,2023-01-03,Payment,9512.9,ACCT-5588,Payment - Services,ABC Office Supplies
2963ecf9-0ad6-4e64-bfb4-4f0b25bcd5aa,2023-01-03,Payment,3373.58,ACCT-2995,Payment - Miscellaneous,XYZ Tech Solutions
73cb2c95-a514-4bb8-9939-4999e95cf967,2023-01-04,Payment,9646.3,ACCT-6842,Payment - Office Supplies,XYZ Tech Solutions
cdee70b4-fb82-4002-9dd3-91179f11e73a,2023-01-05,Withdrawal,5397.68,ACCT-9290,Withdrawal - Equipment,XYZ Tech Solutions
c7ce8a07-e050-483c-a010-c55692cd3e36,2023-01-06,Withdrawal,1015.95,ACCT-7128,Withdrawal - Miscellaneous,ABC Office Supplies
37cd205d-b7fc-4275-8f68-fc610a053c6d,2023-01-06,Payment,1157.83,ACCT-9676,Payment - Equipment,123 Cleaning Services
