Transaction ID,Irregularity Type,Description
f5ca2e9a-5080-4da2-bf86-56d743f5e9c5,wrong_account,Account number changed from ACCT-1910 to WRONG-908
861269f8-fe12-4c56-8d09-e9c49070e507,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 861269f8-fe12-4c56-8d09-e9c49070e507: 1223.59 to 1211.35, Transaction 1798a69a-bd00-458d-9e52-01a8ac4e76cc: 2899.30 to 2870.31, Transaction 4e8a5698-6032-4a72-ab0d-0953a6170ce1: 1322.34 to 1309.12, Transaction d7c5689b-f536-4a3c-b0bc-51bab938e9dc: 7367.64 to 7293.96, Transaction 3ede2ee7-a472-4810-9aff-dfb4054a0243: 1222.10 to 1209.88, Transaction 796f7b2a-9eb2-4694-ae91-c6f9e4a58985: 1985.68 to 1965.82, Transaction 86c841d9-ae47-472b-b36e-897e0401eba2: 2807.67 to 2779.59, Transaction df955566-4de6-4448-b056-9d3771ee8b7f: 4408.54 to 4364.45, Transaction 8867213a-d60f-4735-8183-0d19bde10a51: 1008.39 to 998.31, Transaction b04a472d-6eb6-4e10-931a-e983b8abaeff: 3408.27 to 3374.19"
bf82f474-a217-4c99-849b-06539b01c9df,personal_expense,"Changed to personal expense: Vendor from 'XYZ Tech Solutions' to 'Gourmet Restaurant', Description from 'Transfer - Equipment' to 'Client Entertainment', Amount from 1443.44 to 2161.87"
50eb75c9-4809-4fa0-a093-a4ad1bf0d89d,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 50eb75c9-4809-4fa0-a093-a4ad1bf0d89d: 1297.69 to 1284.71, Transaction bf41176d-7f69-40d6-84e8-4712da43b2eb: 1761.17 to 1743.56, Transaction e4ee998f-b206-4806-8c88-a93d7383eff7: 3786.18 to 3748.32, Transaction eab48ce6-8202-4139-8314-942ff950bced: 3449.37 to 3414.88, Transaction 087eed1f-b51e-4e38-bbd7-266ed067aeb8: 1833.21 to 1814.88, Transaction de750beb-0b41-4c31-b44d-f3bb0d4e0e84: 1772.42 to 1754.70, Transaction aaa32f3c-e306-4bb3-b9c7-37e6f92354bd: 6838.21 to 6769.83, Transaction 38aa9e84-f911-4868-8074-06a139c188d1: 2573.27 to 2547.54, Transaction 35ae4eb7-f6e9-48cc-9b36-9f32d803153a: 1892.93 to 1874.00, Transaction 584a6fb7-20e1-42ca-ab61-748c452ed5c8: 3731.51 to 3694.19"
7f159e13-39c7-4f7d-9d39-1326108674ff,frequency_change,No change (not a recurring transaction)
f62b9ad8-36c2-4f4a-9176-ef74f9f06885,double_spend,Transaction duplicated with new ID 807af8f2-5375-4cc9-9e52-ec0dbf363449 and date changed from 2023-10-01 to 2023-10-01 00:46
feb58c01-1e0c-41a2-8aa8-862691a092bb,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction feb58c01-1e0c-41a2-8aa8-862691a092bb: 1620.84 to 1604.63, Transaction 81a1455d-d6e8-403d-b54f-68fe003ab745: 1435.78 to 1421.42, Transaction 63df3847-e460-4d47-adfd-d1c5e28d71a9: 2846.24 to 2817.78, Transaction bd19c7f6-826e-4f29-93e8-53643aff4393: 1307.78 to 1294.70, Transaction 8e47741a-9551-48b7-b22d-5ee5b30ac5c7: 2438.63 to 2414.24, Transaction 1b2a988b-271b-42a1-b98d-ef88de03c971: 1984.92 to 1965.07, Transaction 87e8ad23-46a0-479c-bd46-9950104770dd: 3307.54 to 3274.46, Transaction 70762496-639e-492f-a9be-db50a7e5516f: 6792.80 to 6724.87, Transaction 0199bc48-9a51-49a9-aa33-33f242f3acc4: 1674.91 to 1658.16, Transaction f34b632c-b25a-4b94-804f-0b5e0e180aa8: 9880.18 to 9781.38"
e5e9beb8-4ea2-4745-be7c-a324b6f3dba6,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction e5e9beb8-4ea2-4745-be7c-a324b6f3dba6: 1115.46 to 1104.31, Transaction bd7435d1-1d25-44ad-9c33-587f9e6ae548: 1137.99 to 1126.61, Transaction 0a19baa6-6cd1-4d46-96fd-c41c91bef2a9: 1433.30 to 1418.97, Transaction 1b618e4b-f05b-4125-86e4-cc80b588f085: 4007.23 to 3967.16, Transaction f30c289b-0b57-46d7-a72c-e07ff27cb1b7: 2840.68 to 2812.27, Transaction 16e38d00-ec39-4a97-a682-2141ee0a7cc8: 4950.74 to 4901.23, Transaction 58896eb9-9a5d-4917-af91-9a64dbb1ddae: 1324.27 to 1311.03, Transaction d012f885-d011-42d3-895e-b288a68da775: 8540.67 to 8455.26, Transaction f4df8bb8-b7b7-46bf-b997-33042dfbafd3: 6022.02 to 5961.80, Transaction 5f54a785-97f9-418b-a14a-58703419957d: 2495.78 to 2470.82"
aba7b230-e8c8-4cd7-bb7a-4ddffd385343,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction aba7b230-e8c8-4cd7-bb7a-4ddffd385343: 1428.51 to 1414.22, Transaction 45aa11d3-42ba-4b29-a28b-d2615196b014: 2682.53 to 2655.70, Transaction 565d142e-de1f-4532-a45d-1376445bb7a5: 2789.91 to 2762.01, Transaction 629d0c0b-5379-497c-947a-b7589cd2941a: 3932.97 to 3893.64, Transaction 44325c9a-aa55-4257-9d41-0dbfcf3c8ee4: 5717.69 to 5660.51, Transaction bd71866c-9e34-410d-bf52-1c84bcf67f1f: 3015.83 to 2985.67, Transaction 03fe7044-b197-4de2-80b5-1d3495d80e21: 2941.11 to 2911.70, Transaction d97e3ddf-b561-448c-a17a-4378e6a6711f: 5091.45 to 5040.54, Transaction 906d1b1c-3792-488f-a2c2-1be2b2e6577a: 2404.42 to 2380.38, Transaction 20a4037f-a8b3-4119-a3b1-4e8cf17ca2ca: 3192.49 to 3160.57"
f835b293-bb23-412e-b369-082df7c2d7a9,round_number_bias,Amount rounded from 2339.20 to 2300.00
8908f96f-abd8-4be4-936f-3358b84596c1,round_number_bias,Amount rounded from 8553.52 to 8600.00
8a3f0a83-de50-4a56-9488-53f0c491c986,seasonal_anomaly,No change (not in winter months)
8867213a-d60f-4735-8183-0d19bde10a51,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 8867213a-d60f-4735-8183-0d19bde10a51: 998.31 to 988.32, Transaction b04a472d-6eb6-4e10-931a-e983b8abaeff: 3374.19 to 3340.45, Transaction b11dbcf6-0c5e-4645-ac10-8e1fa10eabf0: 2636.04 to 2609.68, Transaction c499eec4-cdf4-4f20-a175-16bb84d8fbfc: 8314.41 to 8231.27, Transaction 90a4c2fb-6fa9-4223-8d23-4188b778827b: 3505.90 to 3470.84, Transaction d12abf08-3a31-41ed-a4f9-716444f08f2f: 2206.86 to 2184.79, Transaction 56c338ab-eab6-4fe0-8299-0b3cc0f1c4f7: 2998.47 to 2968.49, Transaction 94e15b26-a09d-4689-b99c-4ff28bb0af49: 1184.90 to 1173.05, Transaction acf3a2b9-0c47-4c10-bb5d-389ba1279ec9: 2950.00 to 2920.50, Transaction 04c23431-7640-4d8e-87f1-6d952e62c4f1: 1363.44 to 1349.81"
,missing_id,Transaction ID removed (original ID: 00d6b9cc-24cc-45f0-a78d-aa859c48984f)
ec655238-8b2c-4bae-b2e3-ddedb50ae98a,mismatched_description,Description changed from 'Transfer - Miscellaneous' to 'Transfer - Miscellaneous'
94e15b26-a09d-4689-b99c-4ff28bb0af49,double_spend,Transaction duplicated with new ID 85d73abe-8003-413e-99ac-a90ddc023d3b and date changed from 2023-04-27 to 2023-04-27 00:05
eb0a21f0-0246-49dd-91a7-229f6d5e72c1,high_amount,Amount increased from 7486.33 to 71857.26
8498d951-a525-4e7d-9c64-c3e112e6a873,wrong_account,Account number changed from ACCT-9958 to WRONG-269
d4e2860c-2c4f-450f-a63f-cda5795b8c21,benford_violation,Amount changed from 2646.24 to 5867.92 (violating Benford's Law)
e51176ff-b214-47c7-bbe1-456e753f7da1,wrong_account,Account number changed from ACCT-8733 to WRONG-837
45225901-b5d6-4e48-b6e6-948b33ce67d9,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 45225901-b5d6-4e48-b6e6-948b33ce67d9: 4105.59 to 4064.53, Transaction a1833363-7682-425c-bd77-053b33dda9c4: 1841.92 to 1823.50, Transaction b90dcc14-c940-4878-a3b9-5019dbeb1e9d: 4681.07 to 4634.26, Transaction 612511e7-9dc6-435e-bb92-9213bb6d2e9b: 1496.34 to 1481.38, Transaction 0f11fc81-8f2b-44e6-b1f9-e102a1b2c7e8: 2897.64 to 2868.66, Transaction 845bc1bc-a5ca-4788-b11b-a8433c2b1ad6: 1512.96 to 1497.83, Transaction 24dcbef1-94cd-4187-81b6-293b2e8d18fd: 1273.90 to 1261.16, Transaction 0e7b611e-60e5-49df-9132-ffb03ecccbca: 1749.56 to 1732.06, Transaction b148cece-12f1-4dcb-a338-20ce0c8ea631: 2767.14 to 2739.47, Transaction b0b535ba-b508-49b4-8b9a-d92de238cd20: 4724.52 to 4677.27"
91e09363-fd2e-439a-91ed-5f55110e2b4e,round_number_bias,Amount rounded from 5575.64 to 5600.00
d7c38d44-baf1-4fd2-9351-dc482748c8c6,benford_violation,Amount changed from 2987.72 to 6857.26 (violating Benford's Law)
27a21fa9-dbc5-4197-9a0f-6f4277caf65f,benford_violation,Amount changed from 5556.34 to 6680.36 (violating Benford's Law)
0909b482-25d7-4d65-b74a-55f424fe6a0d,wrong_account,Account number changed from ACCT-7641 to WRONG-304
9185d11b-c2f7-4608-912d-a0c00a508bed,subtle_skimming,"Subtle skimming applied to 10 transactions: Transaction 9185d11b-c2f7-4608-912d-a0c00a508bed: 3449.65 to 3415.15, Transaction fcc1e6bb-dfac-4c0a-be61-e818238ff409: 6881.26 to 6812.45, Transaction 49424715-f054-48db-855d-6a71a8fd1f5a: 9283.44 to 9190.61, Transaction 22aa17c2-dfea-4ce8-9026-9cd2ec76a181: 1825.91 to 1807.65, Transaction 7af3731f-a1ce-45bb-a12e-866f9412360f: 1140.68 to 1129.27, Transaction be69309c-4ad0-4a25-9bd1-79a410d75048: 3871.75 to 3833.03, Transaction cbb8c49a-e22f-4529-ba45-c399ec1ef1fc: 2731.34 to 2704.03, Transaction 7de5c411-948d-4575-8e38-ddf0b44e8d72: 1257.11 to 1244.54, Transaction a58aef96-adde-4424-aa7e-bf2e7ae7c49b: 2519.35 to 2494.16, Transaction 62360d6e-dd05-458a-9352-f2dafa6b25e7: 8552.23 to 8466.71"
69e2fd4d-e07d-4607-89c4-d85b4ea657f1,personal_expense,"Changed to personal expense: Vendor from 'ABC Office Supplies' to 'Designer Clothing Co.', Description from 'Purchase - Equipment' to 'Team Building Retreat', Amount from 8796.77 to 1837.29"
7a9b41ea-24ec-4ac0-8293-ea40db9373dc,double_spend,Transaction duplicated with new ID a24cf620-04f0-4b85-becd-507244aeaacb and date changed from 2023-04-26 to 2023-04-26 00:15
eb0a21f0-0246-49dd-91a7-229f6d5e72c1,incorrect_date,Date changed from 2023-11-21 to future date 2024-01-23
62360d6e-dd05-458a-9352-f2dafa6b25e7,high_amount,Amount increased from 8466.71 to 98255.39
255b80f0-c3bb-4d6f-ad86-c616cb00a84a,personal_expense,"Changed to personal expense: Vendor from 'ABC Office Supplies' to 'Designer Clothing Co.', Description from 'Purchase - Office Supplies' to 'Office Decor', Amount from 9154.46 to 2799.64"
